,city,lat,temp,humidity,cloudiness,wind
532,Puerto Ayora,-0.74,75.2,64,0,20.8
533,Hirna,9.22,57.21,96,80,2.95
534,Roebourne,-20.77,76.06,29,0,13.47
535,Comodoro Rivadavia,-45.87,44.6,75,40,10.29
536,Vila Franca do Campo,37.72,60.8,77,20,3.36
537,Ust-Nera,64.57,1.45,98,64,2.62
538,Ca Mau,9.18,76.06,100,48,5.75
539,Bow Island,49.87,66.2,20,75,9.17
540,New Norfolk,-42.78,62.6,63,75,10.29
541,Kulhudhuffushi,6.62,82.23,100,0,0.72
542,Pascagoula,30.37,78.84,44,1,6.93
543,New Norfolk,-42.78,62.6,63,75,10.29
544,Lokosovo,61.13,31.06,97,88,2.95
545,Kahului,20.89,79.88,70,40,16.11
546,Talnakh,69.49,28.36,100,88,7.54
547,Santa Barbara,34.42,75.9,41,1,11.41
548,Broken Hill,-31.97,80.07,45,12,16.49
549,Hearst,49.69,43.84,74,88,7.65
550,Nouadhibou,20.93,71.6,68,8,18.34
551,Prescott Valley,34.61,64.4,31,1,8.05
